images,label
1_JPG.rf.6311000475c9d5e9287ee0950983f2fa.jpg,Simple cyst
3_JPG.rf.d5e017242b349b48c512ee3aeee85534.jpg,Simple cyst
4_JPG.rf.d6989e1899caa9e9c94e9f149a28922f.jpg,Simple cyst
5_JPG.rf.b7ffbbb03e726214ec06820f412e475c.jpg,Simple cyst
6_JPG.rf.9f5b67d18977113f6f39a9e9651f347f.jpg,Chocolate cyst
7_JPG.rf.0de3a16046b6e5b05b5be84dac711834.jpg,Chocolate cyst
8_JPG.rf.dbddfb72e1ea29a540b305d1c4c9995f.jpg,Chocolate cyst
9_JPG.rf.3f3945004f8b6edefd6e3cda39e20c97.jpg,Chocolate cyst
10_JPG.rf.c516b21a667bed8889b7a3e0a8b08fb2.jpg,Chocolate cyst
11_JPG.rf.02ea4087737299fe454301a32b904209.jpg,Chocolate cyst
12_JPG.rf.ea2e814b388f01d08ca44dcafe80e15a.jpg,Chocolate cyst
13_JPG.rf.00f40ca0ff4beb7b7c6fb0fd0787e89c.jpg,Chocolate cyst
14_JPG.rf.9cf0888e9fe05a9fd53adad00e9112b6.jpg,Chocolate cyst
15_JPG.rf.3da02fdd558846e9e7c50bbdcd533de2.jpg,Chocolate cyst
16_JPG.rf.563f02472e006062bbb20537e0c2be22.jpg,Chocolate cyst
17_JPG.rf.508f3f90bf3ba63e308f0728a4dde16b.jpg,Chocolate cyst
18_JPG.rf.b1d98c09ca2dea7b93cda8ef2dadff67.jpg,Chocolate cyst
19_JPG.rf.04139d66061ca32b3cd735da12dac760.jpg,Chocolate cyst
27_JPG.rf.edeec88378eab56dd72df8378c17302b.jpg,Chocolate cyst
28_JPG.rf.5590c04d95425fda6cce3a4fa13a3588.jpg,Chocolate cyst
28_JPG.rf.5590c04d95425fda6cce3a4fa13a3588.jpg,Chocolate cyst
29_JPG.rf.2ed1ce4e245a76a3cce3dae6f16428bc.jpg,Chocolate cyst
30_JPG.rf.758096ba42b4c5423f802ed5288ca942.jpg,Chocolate cyst
30_JPG.rf.758096ba42b4c5423f802ed5288ca942.jpg,Chocolate cyst
31_JPG.rf.3c09de843ea34b170e30439b32b4136d.jpg,Chocolate cyst
32_JPG.rf.5cec23c92bfaf3f3c3b24aaf7c36c9c1.jpg,Chocolate cyst
33_JPG.rf.2d1091d12c76e11c486d528b7cb2837f.jpg,Chocolate cyst
34_JPG.rf.91feaba16979bd7ff6eadf64a7810f40.jpg,Chocolate cyst
35_JPG.rf.3d45dc3a86794f4e22139453e5125f0b.jpg,Chocolate cyst
36_JPG.rf.2c6700e65f9f489dc6ebfd1922d8a942.jpg,Chocolate cyst
37_JPG.rf.b008997b8bee636f7199ddec7bc7de41.jpg,Chocolate cyst
38_JPG.rf.3bca45a24e52687e88eecac679d3c919.jpg,Chocolate cyst
39_JPG.rf.256f2eed8d84ad79e66f6b1d82dd271c.jpg,Chocolate cyst
40_JPG.rf.b99c87a8d887f61c9b1193761ee00590.jpg,Chocolate cyst
41_JPG.rf.a45a1c71f295eed901d24af58f5e827f.jpg,Chocolate cyst
42_JPG.rf.e5b085d769c41e9c32af5818b5d81c92.jpg,Simple cyst
43_JPG.rf.c0edc31ef63ae2708e3185989c63d0ef.jpg,Simple cyst
44_JPG.rf.c619a8eba0960d0e2e66b83e0d868a28.jpg,Simple cyst
45_JPG.rf.0f8adb2237aec10c437cd3213cbd58fd.jpg,Teratoma
